created_at,sensor1,sensor2,sensor3,sensor4,value
2024-02-16T14:45:13+00:00,05110000,000000,00660000,05430000,0
2024-02-16T14:45:30+00:00,05E40000,02F300,07790000,06220000,0
2024-02-16T14:45:50+00:00,05160000,018200,06680000,05560000,0
2024-02-16T14:46:25+00:00,05E40000,011500,06680000,06220000,0
2024-02-16T14:46:54+00:00,059F0000,015E00,06AC0000,06220000,0
2024-02-16T14:47:11+00:00,06F60000,017800,08020000,04440000,0
2024-02-16T14:47:27+00:00,05160000,00FA00,06AC0000,05560000,0
2024-02-16T14:47:44+00:00,06280000,017800,07350000,06AB0000,0
2024-02-16T14:48:01+00:00,06280000,020A00,07BE0000,04CD0000,0
2024-02-16T14:48:21+00:00,06F60000,017100,06AC0000,05560000,0
2024-02-16T14:48:40+00:00,05160000,00E800,07790000,06220000,0
2024-02-16T14:49:07+00:00,05160000,014100,05120000,07780000,0
2024-02-16T14:49:24+00:00,059F0000,018600,05DF0000,05DE0000,0
2024-02-16T14:49:40+00:00,055B0000,017C00,05DF0000,05560000,0
2024-02-16T14:49:57+00:00,055B0000,00B800,059B0000,04890000,0
2024-02-16T14:50:19+00:00,05160000,005400,05120000,04000000,0
2024-02-16T14:50:47+00:00,03BF0000,051200,04CE0000,04440000,0
2024-02-16T14:51:03+00:00,04480000,000000,04CE0000,04440000,0
2024-02-16T14:51:20+00:00,04480000,04D300,04CE0000,04440000,0
2024-02-16T14:51:37+00:00,04480000,04DD00,04CE0000,04440000,0
2024-02-16T14:52:03+00:00,04040000,04E200,05120000,04440000,0
2024-02-16T14:52:32+00:00,04480000,04F200,05120000,04000000,0
2024-02-16T14:53:01+00:00,04030000,04F200,05120000,04440000,0
2024-02-16T14:53:22+00:00,04040000,04F800,05120000,04440000,0
2024-02-16T14:53:52+00:00,03BF0000,04F800,04CE0000,04440000,0
2024-02-16T14:54:14+00:00,037B0000,001800,05120000,04440000,0
2024-02-16T14:54:31+00:00,04030000,04F500,05120000,04440000,0
2024-02-16T14:54:47+00:00,04040000,04F000,04CE0000,04440000,0
2024-02-16T14:55:16+00:00,04480000,04F000,04CE0000,04890000,0
2024-02-16T14:55:32+00:00,048C0000,04EB00,05120000,04890000,0
2024-02-16T14:55:53+00:00,04030000,04EB00,05120000,04440000,0
2024-02-16T14:56:22+00:00,04030000,050B00,05120000,04440000,0
2024-02-16T14:56:39+00:00,04040000,050B00,05120000,04440000,0
2024-02-16T14:56:56+00:00,048C0000,04FB00,05120000,04890000,0
2024-02-16T14:57:13+00:00,048C0000,051500,05120000,04890000,0
2024-02-16T14:57:29+00:00,04D20000,050500,05120000,04440000,0
2024-02-16T14:57:46+00:00,04480000,050B00,05120000,04890000,0
2024-02-16T14:58:03+00:00,048C0000,050000,04CE0000,04440000,0
2024-02-16T14:58:20+00:00,04040000,04FB00,05570000,04890000,0
2024-02-16T14:58:37+00:00,04030000,04F500,05120000,04440000,0
2024-02-16T14:58:54+00:00,04480000,050000,05120000,04890000,0
2024-02-16T14:59:11+00:00,04480000,051500,05120000,04890000,0
2024-02-16T14:59:33+00:00,04480000,04EB00,05570000,04890000,0
2024-02-16T14:59:49+00:00,048C0000,04F500,05120000,04440000,0
2024-02-16T15:32:39+00:00,01640000,012000,00E30000,00880000,1
2024-02-16T15:33:15+00:00,00CD0000,003400,01DE0000,00000000,1
2024-02-16T15:33:45+00:00,01120000,000000,00000000,00000000,1
2024-02-16T15:34:02+00:00,01120000,000000,00000000,00000000,1
2024-02-16T15:34:19+00:00,00440000,000000,00440000,00000000,1
2024-02-16T15:34:36+00:00,00000000,000000,00000000,00000000,1
2024-02-16T15:34:53+00:00,02240000,000500,00880000,00000000,1
2024-02-16T15:35:10+00:00,01560000,001A00,00440000,00440000,1
2024-02-16T15:35:26+00:00,019B0000,004200,00440000,00000000,1
2024-02-16T15:35:53+00:00,019B0000,007E00,00880000,00000000,1
2024-02-16T15:36:17+00:00,00CD0000,000500,00000000,00000000,1
2024-02-16T15:36:33+00:00,00CD0000,001F00,00440000,00000000,1
2024-02-16T15:36:50+00:00,019B0000,002A00,00440000,00000000,1
2024-02-16T15:37:07+00:00,01560000,000A00,00000000,00440000,1
2024-02-16T15:37:24+00:00,019B0000,000500,00000000,00000000,1
2024-02-16T15:37:41+00:00,00CD0000,001500,00000000,00000000,1
2024-02-16T15:37:57+00:00,01560000,004300,00880000,00440000,1
2024-02-16T15:38:14+00:00,02690000,000A00,00440000,00440000,1
2024-02-16T15:38:35+00:00,01560000,000A00,00880000,00000000,1
2024-02-16T15:39:09+00:00,01560000,000500,00440000,00440000,1
2024-02-16T15:39:39+00:00,01560000,000500,00440000,00000000,1
2024-02-16T15:39:56+00:00,01560000,000500,00440000,00440000,1
2024-02-16T15:40:12+00:00,01560000,000500,00440000,00440000,1
2024-02-16T15:40:34+00:00,01120000,001F00,00440000,00440000,1
2024-02-16T15:41:19+00:00,01120000,00AE00,019A0000,00CC0000,1
2024-02-16T15:41:36+00:00,02240000,014500,02AB0000,01550000,1
2024-02-16T15:41:53+00:00,059F0000,033200,04010000,03BC0000,1
2024-02-16T15:42:09+00:00,055A0000,04A600,04890000,04000000,1
2024-02-16T15:42:26+00:00,059F0000,04C600,05570000,04440000,1
2024-02-16T15:42:43+00:00,05E40000,053000,05DF0000,05560000,1
2024-02-16T15:43:00+00:00,055B0000,001F00,04890000,04CD0000,1
2024-02-16T15:43:21+00:00,05E30000,004A00,05DF0000,05110000,1
2024-02-16T15:43:54+00:00,06B00000,010400,059B0000,05DE0000,1
2024-02-16T15:44:29+00:00,08070000,011900,06AC0000,05560000,1
2024-02-16T15:44:56+00:00,05150000,002F00,06AC0000,05DE0000,1
2024-02-16T15:45:13+00:00,066C0000,046B00,04450000,05110000,1
2024-02-16T15:45:29+00:00,055A0000,04A600,03780000,03BC0000,1
2024-02-16T15:45:46+00:00,06270000,044600,04890000,04000000,1
2024-02-16T15:46:03+00:00,06B00000,04E500,05570000,03BC0000,1
2024-02-16T19:54:26+00:00,00AD0000,002500,008E0000,00290000,2
2024-02-16T19:54:56+00:00,04470000,00CA00,04010000,03770000,2
2024-02-16T19:55:12+00:00,05140000,007A00,05570000,05110000,2
2024-02-16T19:55:46+00:00,04D00000,008A00,05DF0000,04CD0000,2
2024-02-16T19:56:19+00:00,04D00000,00DF00,04450000,03BC0000,2
2024-02-16T19:56:41+00:00,001F0000,009A00,04890000,04440000,2
