created_at,sensor1,sensor2,sensor3,sensor4,value
2024-02-20T14:15:14+00:00,01A40000,01CA0000,08460000,07340000,0
2024-02-20T14:15:31+00:00,07360000,07320000,05DF0000,059A0000,0
2024-02-20T14:15:48+00:00,05130000,05DD0000,06240000,059A0000,0
2024-02-20T14:16:10+00:00,05130000,06660000,06240000,05DE0000,0
2024-02-20T14:16:39+00:00,06AE0000,06AA0000,06F10000,06220000,0
2024-02-20T14:16:55+00:00,05000000,06AA0000,06AC0000,06220000,0
2024-02-20T14:17:12+00:00,06690000,06210000,07BE0000,06AB0000,0
2024-02-20T14:17:28+00:00,07360000,06AA0000,08020000,07340000,0
2024-02-20T14:17:46+00:00,06250000,07320000,06680000,059A0000,0
2024-02-20T14:18:02+00:00,06690000,06AA0000,07BE0000,06EF0000,0
2024-02-20T14:18:19+00:00,059C0000,06AA0000,05570000,05110000,0
2024-02-20T14:18:36+00:00,06690000,05990000,06680000,059A0000,0
2024-02-20T14:18:53+00:00,05130000,07770000,07790000,06EF0000,0
2024-02-20T14:19:10+00:00,05000000,06EE0000,06AC0000,06670000,0
2024-02-20T14:19:35+00:00,059C0000,06EE0000,06F10000,06AB0000,0
2024-02-20T14:20:00+00:00,059C0000,06210000,06AC0000,06220000,0
2024-02-20T14:20:17+00:00,05000000,05DD0000,06AC0000,05DE0000,0
2024-02-20T14:20:34+00:00,05580000,05990000,06AC0000,05DE0000,0
2024-02-20T14:20:56+00:00,05580000,05DD0000,06680000,059A0000,0
2024-02-20T14:21:25+00:00,05580000,06210000,06AC0000,05DE0000,0
2024-02-20T14:21:42+00:00,05000000,06210000,06AC0000,05DE0000,0
2024-02-20T14:21:59+00:00,059C0000,05990000,06680000,05DE0000,0
2024-02-20T14:22:16+00:00,05580000,06210000,06240000,06220000,0
2024-02-20T14:22:37+00:00,059C0000,05990000,06680000,059A0000,0
2024-02-20T14:23:07+00:00,05000000,06210000,06680000,05DE0000,0
2024-02-20T14:23:24+00:00,05000000,06210000,06680000,059A0000,0
2024-02-20T14:23:41+00:00,059C0000,06660000,06680000,05DE0000,0
2024-02-20T14:23:57+00:00,05580000,06210000,06680000,059A0000,0
2024-02-20T14:24:14+00:00,05000000,05DD0000,06680000,05DE0000,0
2024-02-20T14:24:31+00:00,06250000,06210000,06AC0000,05DE0000,0
2024-02-20T14:24:48+00:00,06250000,06660000,06AC0000,05DE0000,0
2024-02-20T14:25:05+00:00,04CF0000,06660000,06AC0000,05DE0000,0
2024-02-20T14:25:22+00:00,059C0000,05990000,06AC0000,05DE0000,0
2024-02-20T14:25:39+00:00,06250000,06660000,06680000,05DE0000,0
2024-02-20T14:26:04+00:00,06250000,07320000,06F10000,059A0000,0
2024-02-20T14:26:29+00:00,06AE0000,06AA0000,05570000,05DE0000,0
2024-02-20T14:26:46+00:00,06690000,07320000,06F10000,04CD0000,0
2024-02-20T14:27:07+00:00,06250000,06EE0000,06F10000,05DE0000,0
2024-02-20T14:27:36+00:00,06AE0000,06AB0000,07350000,06670000,0
2024-02-20T14:27:52+00:00,06690000,06EE0000,07350000,06670000,0
2024-02-20T14:28:09+00:00,06AE0000,07320000,07350000,06AB0000,0
2024-02-20T14:28:26+00:00,06690000,06AA0000,07350000,06AB0000,0
2024-02-20T14:28:43+00:00,06F20000,06EE0000,07350000,06EF0000,0
2024-02-20T14:28:59+00:00,07360000,06AA0000,07790000,06AB0000,0
2024-02-20T14:29:16+00:00,06AE0000,05DD0000,07790000,06AB0000,0
2024-02-20T14:29:33+00:00,06AE0000,06EE0000,07350000,06AB0000,0
2024-02-20T14:29:50+00:00,06F20000,07770000,07350000,06670000,0
2024-02-20T14:30:07+00:00,06F20000,07320000,07790000,06AB0000,0
2024-02-20T15:10:25+00:00,03380000,00060000,00FB0000,00AA0000,1
2024-02-20T15:10:52+00:00,01560000,00000000,00440000,00000000,1
2024-02-20T15:11:15+00:00,019A0000,00000000,00440000,00000000,1
2024-02-20T15:11:33+00:00,01560000,00000000,00490000,00000000,1
2024-02-20T15:11:49+00:00,01110000,00000000,02AB0000,00000000,1
2024-02-20T15:12:06+00:00,00880000,00000000,06240000,02220000,1
2024-02-20T15:12:23+00:00,00CD0000,00440000,06680000,05560000,1
2024-02-20T15:12:44+00:00,00CD0000,04CC0000,07350000,06670000,1
2024-02-20T15:13:14+00:00,01DE0000,03BB0000,06AC0000,05DE0000,1
2024-02-20T15:13:30+00:00,05580000,06210000,059B0000,05110000,1
2024-02-20T15:14:04+00:00,08D10000,05990000,06AC0000,059A0000,1
2024-02-20T15:14:21+00:00,088C0000,05DD0000,07790000,06EF0000,1
2024-02-20T15:14:44+00:00,088C0000,05DD0000,07BE0000,07340000,1
2024-02-20T15:15:11+00:00,088C0000,06EE0000,07350000,06AB0000,1
2024-02-20T15:15:28+00:00,08480000,06AA0000,05DF0000,05560000,1
2024-02-20T15:15:45+00:00,09150000,06EE0000,06AC0000,06AB0000,1
2024-02-20T15:16:01+00:00,08D10000,05DD0000,06240000,05560000,1
2024-02-20T15:16:18+00:00,08D10000,06EE0000,07BE0000,06AB0000,1
2024-02-20T15:16:35+00:00,09150000,07320000,07BE0000,07340000,1
2024-02-20T15:17:25+00:00,088C0000,06AA0000,07790000,07340000,1
2024-02-20T15:17:42+00:00,08480000,07320000,06F10000,06670000,1
2024-02-20T15:17:58+00:00,08D10000,07BB0000,07BE0000,07780000,1
2024-02-20T15:18:15+00:00,095A0000,07BB0000,08020000,07BC0000,1
2024-02-20T15:19:04+00:00,09900000,06EE0000,08020000,07780000,1
2024-02-20T15:19:21+00:00,0A6B0000,07320000,08020000,07340000,1
2024-02-20T15:19:52+00:00,0A6B0000,06AA0000,07790000,07340000,1
2024-02-20T15:20:12+00:00,09E20000,07770000,07790000,07340000,1
2024-02-20T15:20:29+00:00,09E20000,07320000,07790000,07BC0000,1
2024-02-20T15:20:45+00:00,095A0000,07BB0000,06F10000,06AB0000,1
2024-02-20T15:21:02+00:00,09900000,06EE0000,07BE0000,06EF0000,1
2024-02-20T15:21:19+00:00,0A270000,07320000,07350000,07340000,1
2024-02-20T15:21:36+00:00,09900000,04880000,07350000,06AB0000,1
2024-02-20T15:21:54+00:00,0A6B0000,04CC0000,07350000,03BC0000,1
2024-02-20T15:22:10+00:00,08D10000,05550000,06F10000,04890000,1
2024-02-20T15:22:27+00:00,0A270000,06660000,04010000,059A0000,1
2024-02-20T15:23:40+00:00,08D10000,06EE0000,06AC0000,07780000,1
2024-02-20T15:24:09+00:00,09E20000,07770000,07790000,06AB0000,1
2024-02-20T15:24:26+00:00,09E20000,06210000,07790000,06670000,1
2024-02-20T15:24:42+00:00,09E20000,06AA0000,07BE0000,06670000,1
2024-02-20T15:25:03+00:00,088C0000,06AA0000,07350000,05DE0000,1
2024-02-20T15:25:33+00:00,08D10000,06210000,07350000,06220000,1
2024-02-20T15:25:49+00:00,08040000,06AA0000,06F10000,06AB0000,1
2024-02-20T15:26:07+00:00,095A0000,04880000,06680000,03330000,1
2024-02-20T15:26:23+00:00,06690000,04440000,06680000,03BC0000,1
2024-02-20T15:26:57+00:00,06F20000,06210000,03780000,06220000,1
2024-02-20T15:27:14+00:00,08040000,06AA0000,04450000,06AB0000,1
2024-02-20T15:27:34+00:00,088C0000,06AA0000,04890000,06EF0000,1
2024-02-20T15:28:04+00:00,09E20000,00DA0000,06240000,00A70000,1
2024-02-20T15:45:20+00:00,077B0000,07770000,05570000,05560000,2
2024-02-20T15:45:38+00:00,05000000,07FF0000,04CE0000,04440000,2
2024-02-20T15:46:00+00:00,077B0000,07FF0000,05120000,04CD0000,2
2024-02-20T15:46:28+00:00,01DE0000,04CC0000,05DF0000,059A0000,2
2024-02-20T15:46:54+00:00,01DE0000,02220000,03BC0000,03330000,2
2024-02-20T15:47:18+00:00,02F00000,02AA0000,00CD0000,01550000,2
2024-02-20T15:47:35+00:00,02230000,02220000,00880000,00000000,2
2024-02-20T15:47:52+00:00,02230000,02220000,01DE0000,00000000,2
2024-02-20T15:48:09+00:00,01DE0000,01550000,00440000,00CC0000,2
2024-02-20T15:48:26+00:00,01DE0000,02220000,00880000,00000000,2
2024-02-20T15:48:42+00:00,02230000,02220000,00000000,00000000,2
2024-02-20T15:48:59+00:00,019A0000,02220000,00000000,00880000,2
2024-02-20T15:49:16+00:00,01560000,01DD0000,01550000,00CC0000,2
2024-02-20T15:49:33+00:00,02230000,05DD0000,03BC0000,03770000,2
2024-02-20T15:49:50+00:00,04020000,05990000,04450000,03BC0000,2
2024-02-20T15:50:06+00:00,05580000,05DD0000,03BC0000,03770000,2
2024-02-20T15:50:27+00:00,05000000,05550000,04450000,04000000,2
2024-02-20T15:50:56+00:00,06250000,06AA0000,04CE0000,04440000,2
2024-02-20T15:51:13+00:00,077B0000,06AA0000,04890000,04440000,2
2024-02-20T15:51:35+00:00,06F20000,06210000,01DE0000,01990000,2
2024-02-20T15:52:12+00:00,048A0000,02AA0000,019A0000,00440000,2
2024-02-20T15:52:37+00:00,04CF0000,01DD0000,03780000,01990000,2
2024-02-20T15:52:54+00:00,048A0000,04CC0000,03BC0000,02EF0000,2
2024-02-20T15:53:10+00:00,059C0000,05550000,04010000,03330000,2
2024-02-20T15:53:27+00:00,059C0000,05100000,03BC0000,03BC0000,2
2024-02-20T15:53:43+00:00,06F20000,06660000,04450000,03770000,2
2024-02-20T15:54:00+00:00,059C0000,05990000,04CE0000,04440000,2
2024-02-20T15:54:22+00:00,06AE0000,06660000,04450000,04440000,2
2024-02-20T15:54:51+00:00,05130000,06660000,04890000,04000000,2
2024-02-20T15:55:09+00:00,059C0000,05DD0000,04890000,04000000,2
2024-02-20T15:55:25+00:00,05000000,07320000,05120000,04000000,2
2024-02-20T15:55:42+00:00,06250000,06210000,059B0000,03BC0000,2
2024-02-20T15:55:59+00:00,07360000,06AA0000,04CE0000,04890000,2
2024-02-20T15:56:15+00:00,06690000,07320000,04010000,04CD0000,2
2024-02-20T15:56:32+00:00,077B0000,06660000,04CE0000,04890000,2
2024-02-20T15:56:48+00:00,059C0000,07770000,05120000,04440000,2
2024-02-20T15:57:05+00:00,06250000,07320000,05570000,04000000,2
2024-02-20T15:57:26+00:00,07360000,07770000,05570000,04440000,2
2024-02-20T15:57:56+00:00,07360000,07BB0000,05570000,04890000,2
