created_at,sensor1,sensor2,sensor3,sensor4,value
2024-02-19T20:27:25+00:00,1068,1124,1093,332,0
2024-02-19T20:27:42+00:00,820,1160,1161,1092,0
2024-02-19T20:28:05+00:00,1094,1296,1367,1161,0
2024-02-19T20:28:33+00:00,1231,1296,1503,1297,0
2024-02-19T20:28:50+00:00,1231,1296,1572,1366,0
2024-02-19T20:29:06+00:00,1368,1433,1503,1366,0
2024-02-19T20:29:23+00:00,1436,1501,1503,1366,0
2024-02-19T20:29:57+00:00,1504,1501,1503,1434,0
2024-02-19T20:30:31+00:00,1436,1501,1572,1366,0
2024-02-19T20:30:47+00:00,1436,1433,1572,1434,0
2024-02-19T20:31:04+00:00,1436,1501,1572,1366,0
2024-02-19T20:31:21+00:00,1436,1501,1572,1366,0
2024-02-19T20:31:38+00:00,1436,1501,1572,1366,0
2024-02-19T20:31:55+00:00,1504,1501,1572,1434,0
2024-02-19T20:32:12+00:00,1504,1433,1572,1366,0
2024-02-19T20:32:29+00:00,1436,1501,1572,1434,0
2024-02-19T20:32:46+00:00,1436,1433,1503,1366,0
2024-02-19T20:33:03+00:00,1504,1501,1503,1366,0
2024-02-19T20:33:20+00:00,1299,1501,1503,1434,0
2024-02-19T20:33:37+00:00,1368,1501,1572,1366,0
2024-02-19T20:33:59+00:00,1436,1501,1572,1366,0
2024-02-19T20:34:19+00:00,1436,1433,1572,1366,0
2024-02-19T20:34:44+00:00,1436,1501,1572,1434,0
2024-02-19T20:35:01+00:00,1504,1433,1572,1366,0
2024-02-19T20:35:18+00:00,1436,1433,1503,1434,0
2024-02-19T20:35:36+00:00,1436,1433,1572,1366,0
2024-02-19T20:35:52+00:00,1436,1433,1503,1366,0
2024-02-19T20:36:09+00:00,1436,1501,1572,1366,0
2024-02-19T20:36:26+00:00,1504,1433,1503,1366,0
2024-02-19T20:36:43+00:00,1504,1433,1640,1366,0
2024-02-19T20:37:00+00:00,1436,1501,1503,1434,0
2024-02-19T20:37:17+00:00,1436,1433,1503,1297,0
2024-02-19T22:35:14+00:00,150,1569,1572,1434,1
2024-02-19T22:35:32+00:00,1983,1638,1708,1502,1
2024-02-19T22:36:00+00:00,2120,1774,1913,1775,1
2024-02-19T22:36:17+00:00,2120,1774,1435,1707,1
2024-02-19T22:36:38+00:00,2120,1842,2050,1434,1
2024-02-19T22:37:07+00:00,1983,1706,1640,1912,1
