created_at,sensor1,sensor2,sensor3,sensor4,value
2024-02-19T16:04:39+00:00,00160000,06660000,059B0000,06670000,0
2024-02-19T16:04:56+00:00,06690000,06AA0000,06680000,07340000,0
2024-02-19T16:05:25+00:00,06690000,06AA0000,07BE0000,06AB0000,0
2024-02-19T16:05:47+00:00,077B0000,06660000,05DF0000,06220000,0
2024-02-19T16:06:15+00:00,07360000,06AA0000,07BE0000,06EF0000,0
2024-02-19T16:06:36+00:00,059C0000,08430000,07350000,06220000,0
2024-02-19T16:07:10+00:00,06F20000,06AA0000,08460000,07780000,0
2024-02-19T16:07:46+00:00,05580000,06AA0000,05DF0000,06EF0000,0
2024-02-19T16:08:01+00:00,05580000,07BB0000,05DF0000,06EF0000,0
2024-02-19T16:08:23+00:00,048A0000,06AA0000,08020000,059A0000,0
2024-02-19T16:08:40+00:00,06250000,08430000,06680000,07340000,0
2024-02-19T16:09:09+00:00,06250000,08880000,08460000,05560000,0
2024-02-19T16:09:26+00:00,05E00000,06660000,06F10000,07780000,0
2024-02-19T16:09:49+00:00,06AE0000,05990000,06240000,05DE0000,0
2024-02-19T16:10:13+00:00,077B0000,06AA0000,06240000,07780000,0
2024-02-19T16:10:30+00:00,059C0000,06210000,08460000,05110000,0
2024-02-19T16:10:47+00:00,05E00000,06660000,06240000,07340000,0
2024-02-19T16:11:03+00:00,06690000,07770000,06680000,05110000,0
2024-02-19T16:11:20+00:00,05E00000,06210000,08460000,05110000,0
2024-02-19T16:11:42+00:00,07360000,05550000,059B0000,07780000,0
2024-02-19T16:11:58+00:00,05E00000,06660000,07BE0000,06220000,0
2024-02-19T16:12:15+00:00,07BF0000,06210000,088B0000,06EF0000,0
2024-02-19T16:12:44+00:00,077B0000,06660000,059B0000,06AB0000,0
2024-02-19T16:13:05+00:00,05580000,07BB0000,05DF0000,04890000,0
2024-02-19T16:13:34+00:00,05580000,07FF0000,08460000,07340000,0
2024-02-19T16:14:01+00:00,05580000,06660000,06680000,05110000,0
2024-02-19T16:14:24+00:00,059C0000,08430000,08460000,07780000,0
2024-02-19T16:14:41+00:00,06690000,06210000,06F10000,04CD0000,0
2024-02-19T16:14:58+00:00,05E00000,05990000,08460000,07340000,0
2024-02-19T16:15:15+00:00,06250000,06210000,07BE0000,05110000,0
2024-02-19T16:15:32+00:00,05E00000,05550000,06680000,07340000,0
2024-02-19T16:15:49+00:00,077B0000,06210000,05DF0000,059A0000,0
2024-02-19T16:16:22+00:00,077B0000,06660000,08020000,01C60000,0
2024-02-19T16:16:39+00:00,05E00000,05DD0000,05570000,059A0000,0
2024-02-19T16:16:55+00:00,07BF0000,06660000,08460000,07BC0000,0
2024-02-19T16:17:21+00:00,059C0000,07770000,059B0000,06AB0000,0
2024-02-19T16:17:45+00:00,05E00000,06660000,08460000,05560000,0
2024-02-19T16:18:02+00:00,04CF0000,07BB0000,05570000,06EF0000,0
2024-02-19T16:18:23+00:00,059C0000,07FF0000,08460000,06EF0000,0
2024-02-19T16:18:53+00:00,059C0000,06AA0000,059B0000,059A0000,0
2024-02-19T16:19:10+00:00,05130000,07FF0000,08020000,06EF0000,0
2024-02-19T16:19:27+00:00,05E00000,06660000,06240000,05560000,0
2024-02-19T16:19:44+00:00,05130000,08430000,08460000,059A0000,0
2024-02-19T16:20:05+00:00,06690000,05990000,07350000,07780000,0
2024-02-19T16:20:25+00:00,06250000,06660000,07BE0000,05560000,0
2024-02-19T16:20:50+00:00,059C0000,06210000,05DF0000,07BC0000,0
2024-02-19T16:21:07+00:00,07BF0000,07320000,07790000,05560000,0
2024-02-19T16:21:24+00:00,05580000,06660000,06680000,07340000,0
2024-02-19T16:22:13+00:00,05E00000,05DD0000,08460000,06EF0000,0
2024-02-19T16:22:30+00:00,06690000,05100000,06F10000,05560000,0
2024-02-19T16:22:47+00:00,06250000,05DD0000,06240000,07780000,0
2024-02-19T16:23:04+00:00,07BF0000,06210000,07BE0000,059A0000,0
2024-02-19T16:23:21+00:00,06690000,07320000,059B0000,07340000,0
2024-02-19T16:23:37+00:00,07BF0000,07BB0000,05DF0000,059A0000,0
2024-02-19T16:23:54+00:00,059C0000,06AA0000,08020000,06EF0000,0
2024-02-19T16:24:10+00:00,01660000,06210000,08020000,07780000,0
2024-02-19T16:24:49+00:00,004B0000,08430000,06AC0000,06220000,0
2024-02-19T16:25:10+00:00,04CF0000,05DD0000,05DF0000,07780000,0
2024-02-19T16:25:27+00:00,059C0000,06660000,07BE0000,059A0000,0
2024-02-19T18:58:29+00:00,03590000,00000000,00000000,000B0000,1
2024-02-19T18:58:50+00:00,02670000,00440000,00000000,00000000,1
2024-02-19T18:59:19+00:00,059C0000,00000000,00000000,00000000,1
2024-02-19T18:59:41+00:00,02670000,01550000,00000000,00000000,1
2024-02-19T18:59:57+00:00,02230000,00000000,00440000,01550000,1
2024-02-19T19:00:21+00:00,088C0000,02AA0000,03340000,02AB0000,1
2024-02-19T19:00:44+00:00,05E00000,02AA0000,03BC0000,02EF0000,1
2024-02-19T19:01:17+00:00,06250000,03330000,03780000,02EF0000,1
2024-02-19T19:01:35+00:00,06250000,03330000,03BC0000,03770000,1
2024-02-19T19:01:51+00:00,07360000,03FF0000,04450000,04000000,1
2024-02-19T19:02:08+00:00,07360000,03BB0000,04CE0000,04440000,1
2024-02-19T19:02:25+00:00,07BF0000,03770000,05120000,04890000,1
2024-02-19T19:02:42+00:00,06690000,04880000,05120000,04890000,1
2024-02-19T19:02:59+00:00,08480000,04440000,05120000,04890000,1
2024-02-19T19:03:17+00:00,07BF0000,04880000,05570000,04890000,1
2024-02-19T19:03:41+00:00,07BF0000,04880000,05570000,05110000,1
2024-02-19T19:04:07+00:00,088C0000,04880000,05570000,05110000,1
2024-02-19T19:04:23+00:00,077B0000,05DD0000,059B0000,04CD0000,1
2024-02-19T19:04:41+00:00,088C0000,05100000,059B0000,04890000,1
2024-02-19T19:04:57+00:00,08D10000,03FF0000,04890000,01550000,1
2024-02-19T19:05:14+00:00,06AE0000,02EE0000,02670000,00000000,1
2024-02-19T19:05:41+00:00,05E00000,00000000,02220000,01DE0000,1
2024-02-19T19:06:04+00:00,02F00000,00880000,00000000,03330000,1
2024-02-19T19:06:21+00:00,06250000,03330000,02AB0000,02EF0000,1
2024-02-19T19:06:38+00:00,077B0000,03FF0000,02EF0000,02EF0000,1
2024-02-19T19:06:56+00:00,059C0000,03BB0000,04010000,02EF0000,1
2024-02-19T19:07:13+00:00,06AE0000,03770000,03BC0000,03BC0000,1
2024-02-19T19:08:01+00:00,059C0000,03BB0000,04010000,03BC0000,1
2024-02-19T19:08:31+00:00,06690000,03FF0000,04890000,03BC0000,1
2024-02-19T19:08:53+00:00,06AE0000,04880000,04890000,03BC0000,1
2024-02-19T19:09:11+00:00,06690000,04880000,04890000,04000000,1
2024-02-19T19:09:27+00:00,07360000,04440000,04890000,04000000,1
2024-02-19T19:09:50+00:00,07BF0000,05100000,05120000,04440000,1
2024-02-19T19:10:18+00:00,08040000,04440000,05570000,04890000,1
2024-02-19T19:10:35+00:00,08040000,04CC0000,05120000,04CD0000,1
2024-02-19T19:10:57+00:00,07BF0000,03FF0000,05570000,04890000,1
2024-02-19T19:11:35+00:00,06AE0000,04CC0000,05120000,04890000,1
2024-02-19T19:12:05+00:00,06F20000,05550000,05120000,04CD0000,1
2024-02-19T19:12:22+00:00,08040000,05100000,059B0000,05110000,1
2024-02-19T19:12:50+00:00,09150000,05990000,05570000,05560000,1
2024-02-19T19:13:07+00:00,095A0000,05DD0000,059B0000,05560000,1
